address,district,area,bedrooms,garage,type,rent,total
Avenida Celso Garcia,Tatuapé,80,3,2,Apartamento,2800,3785
Rua Anhangüera,Barra Funda,50,1,1,Apartamento,3150,3926
Avenida Presidente Humberto de A. Castelo Branco,Vila Algusta,90,2,1,Apartamento,2000,2672
Rua Eduardo Luiz de Carvalho,Jardim Almeida Prado,130,2,1,Casa,2500,2606
Avenida Otávio Braga de Mesquita,Vila Flórida,72,2,2,Apartamento,1500,2073
Rua Glicério,Liberdade,20,1,0,Studio e kitnet,1000,1058
Avenida Nove de Julho,Jardim Paulista,77,2,1,Apartamento,3600,4679
Rua Bom Pastor,Ipiranga,56,1,0,Apartamento,3000,3276
Rua Pampa,Cidade Vargas,60,1,0,Apartamento,1400,1554
Rua Coronel Morais,Canindé,47,1,0,Apartamento,1700,2016
Rua Cerqueira César,Centro,22,1,0,Studio e kitnet,600,938
Rua Itapimirum,Vila Andrade,60,2,1,Apartamento,3400,4471
Rua Arizona,Parque Oratorio,44,2,1,Apartamento,1300,1450
Rua Saturnino de Meireles,Vila Penteado,60,1,0,Casa,830,881
Rua Marquês Maricá,Sacomã,50,2,1,Apartamento,1800,2424
Rua Ibitirama,Vila Prudente,33,1,0,Studio e kitnet,1900,2612
Rua Costa Aguiar,Ipiranga,70,3,0,Casa,4410,4597
Travessa Píres,Vila Pires,55,2,1,Apartamento,1800,2104
Rua Pantojo,Vila Regente Feijó,65,2,1,Apartamento,2500,3486
Rua Juquiá,Vila Eldízia,49,2,1,Apartamento,1350,1632
Rua Guaniqué,Vila Natalia,96,2,1,Casa,1800,1876
Rua Coronel Francisco Júlio César Alfieri,Vila Sao Paulo,50,2,1,Apartamento,1650,2134
Rua Francisco Pedro do Amaral,Jaguaré,60,1,0,Casa,1080,1325
Rua João Mafra,Vila Brasílio Machado,45,2,0,Casa,1195,1316
Rua Doutor Elias Chaves,Campos Elíseos,40,1,1,Apartamento,1150,1731
Rua Gravataí,Consolação,38,1,0,Studio e kitnet,1400,1824
Rua Merino,Jardim Julieta,50,1,0,Casa,870,907
Rua Jaracatiá,Jardim Umarizal,52,2,1,Apartamento,1950,2514
Avenida Ajarani,Cidade Patriarca,62,3,1,Apartamento,2000,2860
Rua do Direito,Vila Rui Barbosa,70,2,0,Casa,1650,1887
Rua Guaianases,Campos Elíseos,87,2,0,Apartamento,1500,2123
Rua São Quirino,Vila Guilherme,50,2,0,Apartamento,1750,2185
Rua Bento Freitas,República,35,1,0,Apartamento,2100,2853
Avenida Guarulhos,Ponte Grande,47,2,0,Apartamento,1220,1619
Rua Humaitá,Bela Vista,90,2,0,Apartamento,2950,3697
Avenida dos Minuanos,Vila Aricanduva,53,2,1,Apartamento,890,1575
Rua Dona Tecla,Jardim Flor da Montanha,47,2,1,Apartamento,2800,3450
Estrada das Lágrimas,Ipiranga,50,2,1,Casa em condomínio,1060,1599
Avenida Washington Luís,Santo Amaro,58,2,1,Apartamento,2200,2948
Rua Guaipá,Vila Leopoldina,48,2,1,Apartamento,3000,3678
Rua Oswaldo Cruz,Santa Paula,60,2,1,Apartamento,2259,3057
Rua Carolina Soares,Vila Diva (zona Norte),40,1,1,Apartamento,2099,2962
Rua Marajó,Brás,20,1,0,Studio e kitnet,1100,1143
Avenida Rudge,Bom Retiro,43,2,0,Apartamento,2999,3434
Rua Padre Adelino,Quarta Parada,30,1,0,Apartamento,1150,1165
Rua Doutor Almeida Lima,Mooca,38,1,0,Apartamento,2500,2732
Largo do Arouche,República,30,1,0,Apartamento,2000,2627
Rua Vale Formoso,Chácara Santo Antônio (zona Leste),40,2,0,Casa,1639,1939
Rua 29 de Outubro,Vila Matilde,40,2,0,Apartamento,1400,1574
Avenida Manoel Pedro Pímentel,Continental,66,3,1,Apartamento,1850,2556
Rua Labatut,Ipiranga,52,2,0,Apartamento,2300,2389
Avenida Cangaíba,Cangaíba,39,2,0,Apartamento,950,1379
Rua Sevilha,Tucuruvi,35,1,0,Casa,1739,1858
Rua São Quirino,Vila Guilherme,40,2,0,Apartamento,1400,1804
Avenida Guarulhos,Ponte Grande,44,2,0,Apartamento,1500,1923
Rua Amaral Gurgel,Vila Buarque,34,2,0,Apartamento,2625,3271
Rua Doutor Almeida Lima,Mooca,34,1,0,Studio e kitnet,2400,2493
Rua Antônieta Francolino,Jardim Piratininga,80,3,1,Casa,2028,2114
Rua Washington Luís,Centro Histórico de São Paulo,40,1,1,Apartamento,1900,2650
Rua Barão do Bananal,Vila Pompéia,56,2,1,Apartamento,2650,3937
Avenida Nove de Julho,Bela Vista,25,1,0,Apartamento,2300,2709
Avenida Ipiranga,República,44,1,0,Studio e kitnet,1200,1517
Avenida Marcondes de Brito,Chácara Seis de Outubro,45,2,1,Apartamento,2400,2738
Rua Frei Gaspar,Mooca,29,1,0,Apartamento,2100,2541
Rua Professor José Soares de Mello,Jardim Centenário,47,2,1,Apartamento,1200,1696
Rua Rio Grande,Vila Mariana,67,2,0,Apartamento,2600,3182
Rua Doutor Luís Tavares da Cunha,Jardim Casablanca,43,2,0,Apartamento,1250,1548
Rua Doutor Nicolau Alberto Defina,Jardim da Saúde,68,2,1,Apartamento,1294,2066
Rua São Severiano,Vila Santana,27,1,0,Apartamento,1250,1533
Rua Antônio Dias da Silva Casa N° 2,Vila Amália (zona Norte),75,2,0,Casa,1190,1300
Avenida Pompéia,Vila Pompéia,45,1,1,Apartamento,2450,3310
Avenida Eliseu de Almeida,Instituto de Previdência,68,3,1,Apartamento,3800,4427
Rua Costa Barros,Vila Alpina,42,2,0,Apartamento,1850,1921
Rua Doutor Nogueira Martins,Saúde,39,1,0,Casa,1500,1563
Rua Paranapanema,Vila da Saúde,60,2,1,Apartamento,2390,3355
Rua Alfredo Pujol,Santana,33,1,1,Studio e kitnet,2200,2945
Rua Condeúba,Vila Carrão,46,2,0,Apartamento,1300,1813
Rua Hipódromo,Mooca,64,3,1,Apartamento,2900,3567
Rua Pérsia,Parque das Nações,30,1,0,Apartamento,950,1037
Rua Alora,Jardim Arize,56,2,1,Apartamento,1600,2088
Rua Dona Gabriela,Vila Dom Pedro Ii,36,2,1,Apartamento,1900,2450
Avenida Imirim,Imirim,30,1,0,Casa,950,1074
Rua Doutor José de Queirós Aranha,Vila Mariana,58,2,1,Apartamento,2200,3065
Rua Augusto Blasi,Jardim Celeste,54,2,1,Apartamento,780,1485
Rua João Sbarai,Vila Gomes,28,1,0,Studio e kitnet,1150,1290
Rua Arnaldo Cintra,Parque São Jorge,63,3,1,Apartamento,2500,3196
Rua Abdo Ambuba,Vila Andrade,50,2,2,Apartamento,1900,3084
Rua Jacofer,Jardim Pereira Leite,87,3,2,Apartamento,4100,5354
Rua Professor Gustavo Pires de Andrade,Parque da Vila Prudente,120,3,3,Casa,4500,4808
Rua Wilson Ribeiro Bonfim,Vila Inglesa,37,2,0,Apartamento,1350,1802
Rua Fábio Lopes dos Santos Luz,Vila Andrade,39,1,1,Apartamento,3000,3616
Rua Doutor Franscisco Mesquita,Jardim Ibitirama,40,1,0,Apartamento,1400,1874
Avenida Vieira de Carvalho,República,38,1,0,Studio e kitnet,1300,1775
Rua Martim Afonso,Belenzinho,40,1,1,Apartamento,1600,2220
Rua Natingui,Vila Madalena,43,1,1,Apartamento,3300,4379
Avenida Senador Casemiro da Rocha,Mirandópolis,76,2,0,Apartamento,2799,3277
Rua Rubens Sverner,Chácara Santo Antônio (zona Sul),22,1,0,Studio e kitnet,1900,1991
Rua Florindo Braglia,Jardim São Paulo(zona Norte),40,1,0,Casa,1900,2041
Rua Galeno de Castro,Jurubatuba,40,2,0,Apartamento,2310,2674
Avenida André Luíz,Picanço,117,3,1,Casa,2800,2979
Rua Euclides Pacheco,Vila Gomes Cardim,42,1,1,Apartamento,2220,3047
Rua José Antônio Coelho,Vila Mariana,36,1,1,Apartamento,2000,2578
Rua Alencar Araripe,Jardim Santa Cruz (sacomã),82,3,2,Apartamento,3000,3859
Rua Martiniano de Carvalho,Bela Vista,93,2,1,Apartamento,3397,4648
Largo General Osório,Santa Efigênia,20,1,0,Studio e kitnet,1200,1516
Rua Armando Bonilha,Vila Bonilha Nova,48,1,0,Casa,1100,1154
Avenida Senador Queirós,Centro,39,1,0,Studio e kitnet,1600,2321
Rua Martim Francisco,Santa Cecília,40,1,1,Apartamento,2700,3521
Rua Ana Soares Barcelos,Vila Venditti,45,2,0,Apartamento,1500,1903
Rua Helvétia,Santa Cecilia,42,1,0,Studio e kitnet,1940,2414
Rua Amandaú,Parada Inglesa,34,2,0,Apartamento,1850,2246
Rua Carlos Petit,Vila Mariana,35,1,1,Studio e kitnet,3800,3950
Rua David Eid,Vila do Castelo,60,2,2,Apartamento,2978,3753
Rua Jaraguá,Bom Retiro,60,2,2,Apartamento,2850,3585
Rua Frei Caneca,Consolação,24,1,0,Studio e kitnet,2036,2542
Rua Paim,Bela Vista,74,1,1,Apartamento,5100,6278
R. Antônio Guganis,Jardim São Paulo(zona Norte),100,3,3,Apartamento,3500,5052
Rua Frei Caneca,Consolação,60,2,0,Apartamento,3465,3974
Rua Inconfidência Baiana,Vila Primavera,50,1,0,Casa,900,915
Rua 24 de Maio,Centro Histórico de São Paulo,33,1,0,Studio e kitnet,1200,1627
Avenida Ipiranga,República,22,1,0,Studio e kitnet,850,1201
Rua Ibiá,Cidade Patriarca,40,2,0,Apartamento,1450,1639
Rua José Mauro de Vasconcelos,Jardim Pinheiros,55,2,1,Apartamento,1390,1883
Rua Ibirajá,Vila Guarani,63,2,1,Apartamento,4200,4834
Rua Braúlio Guedes,Gopoúva,54,2,1,Apartamento,1300,1783
Rua Oswaldo Presciliano de Carvalho,Sumaré,91,2,2,Casa,4000,4275
Rua Pereira Barreto,Santo Amaro,83,3,2,Apartamento,5000,6017
Avenida Miguel Estefno,Saúde,74,2,1,Apartamento,2700,3554
Rua Doutor Edmur de Castro Cotti,Jardim Rizzo,100,2,1,Casa,3700,3874
Rua Carlos Leite dos Santos,Parque Arariba,41,2,1,Apartamento,1650,2198
Avenida Nove de Julho,Bela Vista,87,2,0,Apartamento,2200,3084
Rua Aurora,República,28,1,0,Studio e kitnet,2390,3093
Avenida Teresa Cristina,Vila Monumento,75,1,1,Casa,4000,4340
Rua Coelho Neto,Vila Prudente,37,1,0,Studio e kitnet,850,883
Rua Doutor Zuquim,Santana,40,1,1,Apartamento,1400,2295
Rua Benedetto Bonfigli,Casa Verde Alta,38,1,0,Casa,1100,1147
Alameda São Caetano,Olímpico,58,2,1,Apartamento,2500,3413
Avenida Gago Coutinho,Santa Maria,38,1,1,Casa,870,932
Rua Araguaia Feitosa Martins,Vila Nova Mazzei,30,1,0,Casa,1160,1251
Rua Diogo Ribeiro,Tremembé,294,3,6,Casa,13000,14200
Rua Julião Ferreira da Silva,Jardim Centenário,27,1,0,Casa,850,887
Rua Amália Figueiroa,Vila Buenos Aires,45,2,1,Apartamento,1600,1662
Rua Doutora Neyde Apparecida Sollitto,Vila Clementino,35,1,0,Apartamento,1320,1371
Rua Itapimirum,Vila Andrade,67,2,2,Apartamento,2550,3808
Rua Professor Fábio Fanucchi,Jardim São Paulo,45,1,0,Apartamento,2250,2559
Rua Avanhandava,Bela Vista,69,2,1,Apartamento,2550,3281
Rua Alexandrino da Silveira Bueno,Cambuci,38,2,0,Apartamento,1750,2068
Rua Engenheiro Jean Buff,Jardim Paraíso,36,1,0,Apartamento,1520,2119
Rua Vieira de Morais,Campo Belo,39,1,1,Apartamento,2300,3391
Avenida Piassanguaba,Planalto Paulista,27,1,0,Studio e kitnet,1200,1339
Rua Capote Valente,Pinheiros,54,1,1,Apartamento,3200,4146
Avenida Nossa Senhora da Assunção,Vila Butantã,35,1,0,Studio e kitnet,1150,1694
Rua Doutor Ângelo Vita,Tatuapé,26,2,0,Studio e kitnet,2200,2744
Rua Valson Lopes,Vila Butantã,25,1,0,Apartamento,2250,2602
Rua Willis Roberto Banks,Parque Maria Domitila,53,2,1,Apartamento,1400,2153
Rua Bom Pastor,Ipiranga,36,1,1,Apartamento,2500,3316
Rua Celso Ramos,Vila Andrade,55,2,1,Apartamento,2800,3508
Rua Bartolomeu de Torales,Vila Mazzei,38,1,1,Casa em condomínio,1850,2058
Rua Doutor Ângelo Vita,Vila Zilda,22,1,0,Studio e kitnet,2200,2861
Rua Galileu,Jardim Aeroporto,45,1,0,Casa,1458,1690
Rua dos Patriotas,Ipiranga,90,2,1,Apartamento,2700,3554
Rua Doutor Almeida Lima,Mooca,30,1,0,Studio e kitnet,2200,2284
Rua Doutor Ângelo Vita,Tatuapé,24,1,0,Studio e kitnet,2100,2600
Avenida Antônio de Souza Noschese,Jaguaré,62,2,1,Apartamento,4500,5158
Rua Angatuba,Vila Sao Pedro,48,2,1,Apartamento,2500,2796
Avenida do Anastácio,City América,50,2,1,Apartamento,2648,3500
Avenida Tucumã,Vila Buenos Aires,21,1,0,Casa,750,782
Rua Alexandre Gusmão,Vila Socorro,48,1,0,Casa,970,1012
Rua Barão Triunfo,Brooklin Paulista,170,3,2,Apartamento,4500,8023
Rua Professor José Horácio Meirelles Teixeira,Jardim Londrina,73,3,1,Apartamento,3000,3865
Rua Conceição Marcondes Silva,Vila Congonhas,80,2,1,Casa,3000,3050
Rua Paim,Bela Vista,32,1,0,Apartamento,893,1289
Rua Atos Damasceno,Vila Santa Catarina,70,2,1,Apartamento,2550,2649
Rua Relíquia,Jardim das Laranjeiras,0,2,1,Apartamento,1600,2569
Rua Fábio Lopes dos Santos Luz,Vila Andrade,57,2,1,Apartamento,4000,5112
Rua Bandeira Paulista,Itaim Bibi,54,1,1,Apartamento,4400,5611
Rua Tomé Portes,Vila Dom Pedro Ii,50,2,1,Apartamento,4210,5300
Rua Paracatu,Parque Imperial,55,2,1,Apartamento,1800,2603
Rua Capote Valente,Pinheiros,35,1,1,Studio e kitnet,2350,3604
Rua Doutor Ângelo Vita,Vila Zilda,25,1,0,Studio e kitnet,2120,2633
Rua Oscar Thompsson,Barra Funda,74,2,1,Apartamento,2610,3643
Rua Dom Lúcio de Sousa,Vila Gumercindo,120,2,2,Casa,3200,3527
Praça Princesa Isabel,Santa Cecilia,35,1,0,Apartamento,1400,1829
Rua Amália Figueiroa,Vila Buenos Aires,35,2,1,Casa,1500,1563
Avenida Duque Caxias,Campos Elíseos,57,1,1,Studio e kitnet,1120,1834
Rua Rússia,Vila Santa Luzia,64,2,1,Apartamento,2600,3025
Rua Asdrúbal do Nascimento,Bela Vista,55,1,0,Apartamento,1260,1992
Rua Kalil Nader Habr,Vila Santo Estéfano,50,1,0,Studio e kitnet,750,779
Avenida Jaçanã,Guapira,72,3,1,Apartamento,2100,3103
Rua Carapocaia,Vila Isolina Mazzei,20,1,0,Casa,800,909
Rua dos Buritis,Jabaquara,43,1,1,Apartamento,2000,2721
Avenida Onze de Agosto,Anchieta,100,2,3,Casa,4000,4170
Rua Deputado Laércio Corte,Paraíso do Morumbi,69,3,1,Apartamento,1993,2881
Rua Anhaia,Bom Retiro,33,1,1,Studio e kitnet,2500,3099
Rua Paulo Ribeiro da Luz,Vila Gomes,74,2,2,Apartamento,1650,2938
Rua das Palmeiras,Gopouva,50,2,1,Apartamento,1900,2417
Rua Doutor Zuquim,Santana,35,1,1,Apartamento,1608,2450
Rua Professor Ari Bouzan,Butantã,20,1,0,Studio e kitnet,854,937
Avenida Washington Luís,Santo Amaro,65,2,1,Apartamento,2200,2964
Rua Michael Faraday,Cidade Monções,34,1,0,Casa,1360,1557
Praça Júlio Mesquita,Santa Efigênia,52,2,0,Apartamento,1750,2245
Rua Londrina,Vila Endres,60,2,1,Apartamento,2800,3510
Rua Francisca Miquelina,Bela Vista,22,1,0,Studio e kitnet,2000,2554
Avenida Nove de Julho,Bela Vista,64,1,0,Apartamento,2280,3057
Rua Henrique Casela,Penha de França,45,2,1,Apartamento,2400,2733
Rua Afonso Bandeira de Melo,Campo Belo,60,2,1,Apartamento,2620,3967
Rua Major Sertório,Vila Buarque,45,2,0,Apartamento,3200,4183
Rua Pamplona,Jardim Paulista,55,1,1,Apartamento,2990,3956
Rua Borges Lagoa,Vila Clementino,16,1,0,Studio e kitnet,1020,1713
Avenida da Liberdade,Liberdade,28,1,0,Studio e kitnet,3850,4438
Rua Engenheiro Jean Buff,Jardim Paraíso,36,1,1,Apartamento,1565,2165
Rua Estilo Barroco,Santo Amaro,84,2,1,Apartamento,3540,4706
Rua Cônego Ladeira,Vila Mazzei,29,1,0,Apartamento,1600,1772
Rua Alagoas,Centro,136,2,2,Apartamento,4600,5864
Rua Doutor Cesário Mota Júnior,Vila Buarque,35,1,0,Apartamento,1320,1805
Avenida do Café,Vila Guarani (z Sul),45,1,1,Apartamento,2800,3658
Rua Professor José Horácio Meirelles Teixeira,Vila Suzana,35,1,1,Studio e kitnet,1300,2340
Rua Costa Barros,Vila Alpina,39,2,0,Apartamento,1660,1724
Avenida Barro Branco,Vila do Encontro,30,1,0,Casa,1100,1182
Rua Cajaíba,Vila Pompéia,52,2,2,Apartamento,3200,4641
Avenida Andrade Neves,Vila Helena,76,2,2,Apartamento,3000,3856
Rua Diogo Pereira,Super Quadra Morumbi,49,2,0,Apartamento,1300,1750
Rua Casa do Ator,Vila Olímpia,37,1,1,Studio e kitnet,3696,4620
Rua Abaitara,Vila Mesquita,25,1,0,Casa,800,936
Rua Padre Manuel Bernardes,Vila Carrão,68,2,1,Apartamento,1800,2789
Rua Durval Clemente,Jardim São Paulo(zona Norte),65,2,1,Apartamento,2000,2577
Rua Jorge Americano,Alto da Lapa,45,2,1,Apartamento,2300,3346
Avenida Rebouças,Pinheiros,90,3,1,Apartamento,4590,5832
Rua Augusta Santel,Jardim Celeste,54,2,1,Apartamento,2000,2756
Avenida Lauro Xerfan,Jardim Iva,44,2,0,Apartamento,2000,2337
Avenida Doutor Francisco Mesquita,Quinta da Paineira,45,2,1,Apartamento,2300,2939
Rua Capitão Leovigildo Silvério Gomes dos Reis,Planalto Paulista,27,1,0,Apartamento,1400,1568
Rua Martim Francisco,Vila Buarque,50,2,1,Apartamento,3200,4406
Rua Jamanari,Vila Andrade,55,2,1,Apartamento,2250,3204
Rua Capital Federal,Sumaré,64,2,1,Apartamento,3045,4687
Rua Luís Antônio dos Santos,Santa Teresinha,67,3,1,Apartamento,2100,3453
Rua Tonelero,Vila Ipojuca,69,2,2,Apartamento,3900,5350
Rua Doutor Morais Dantas,Vila Barbosa,30,1,1,Studio e kitnet,980,1478
Rua Lino Coutinho,Ipiranga,147,3,2,Apartamento,10000,12190
Praça Júlio Mesquita,Santa Efigênia,32,1,0,Studio e kitnet,1350,1797
Rua Giovanni Boltraffio,Sacoma,63,2,1,Apartamento,1850,2541
Rua Lontra,Vila Guilherme,41,2,0,Apartamento,1866,2198
Rua Doutor José Carlos de Toledo Piza,Jardim Parque Morumbi,70,2,2,Apartamento,3200,4185
Rua Guatambus,Vila Nova Mazzei,60,2,1,Casa,1450,1545
Rua Baronesa de Itu,Santa Cecília,35,1,0,Studio e kitnet,2210,2915
Rua Coronel Luís Barroso,Santo Amaro,33,1,1,Apartamento,2550,3379
Rua Relíquia,Jardim das Laranjeiras,53,2,1,Apartamento,2600,3300
Rua Dom Bento Pickel,Casa Verde Alta,35,1,0,Casa,1300,1464
Rua Carlos Comenale,Bela Vista,42,1,1,Apartamento,3720,4584
Rua Frei Caneca,Consolação,26,0,0,Studio e kitnet,2810,3306
Rua Matias Aires,Consolação,100,3,1,Apartamento,2500,4626
Rua Célio,Vila Moraes,30,2,0,Casa,550,574
Rua São Francisco,Sé,26,1,0,Apartamento,975,1448
Rua Ibirajá,Vila Guarani (zona Sul),80,2,2,Apartamento,3600,5288
Rua Doutor Nicolau Alberto Defina,Jardim da Saúde,66,2,1,Apartamento,1460,2235
Rua Desembargador Aragão,Vila Mariana,22,1,0,Apartamento,2800,3293
Rua Silvia,Osvaldo Cruz,90,2,1,Apartamento,3000,3611
Rua Hungria,Vila Nova Santa Luzia,82,3,1,Apartamento,3500,3809
Rua Antônio Gomes Ferreira,Parque Fongaro,35,2,1,Apartamento,1388,1871
Rua Val de Palmas,Vila Santa Clara,48,2,1,Apartamento,2328,2868
Rua Major Sertório,Vila Buarque,25,1,0,Apartamento,2500,3046
Rua Castilho,Brooklin,67,2,1,Apartamento,5750,7059
Rua Turiassu,Perdizes,18,1,0,Studio e kitnet,3200,3813
Rua Valdir Niemeyer,Sumaré,29,1,0,Apartamento,2900,3562
Rua Gomes de Carvalho,Vila Olímpia,74,2,1,Apartamento,3300,4476
Rua Aurora,Santa Efigênia,40,1,0,Apartamento,2200,2980
Avenida Guapira,Tucuruvi,29,1,0,Apartamento,2000,2527
Rua Abrahão Calux,Vila Moinho Velho,78,3,1,Apartamento,2800,4063
Rua João de Sousa Dias,Campo Belo,77,3,2,Apartamento,3300,4425
Rua do Lavapés,Cambuci,48,2,0,Apartamento,1224,1760
Rua Alicante,Vila Granada,38,2,0,Apartamento,2200,2328
Avenida Miruna,Indianópolis,30,1,0,Apartamento,2610,3609
Rua Brigadeiro Galvão,Barra Funda,96,3,2,Apartamento,6500,8146
Avenida Portugal,Centro,41,2,1,Apartamento,2033,3778
Rua General Glicério,Centro,45,1,0,Apartamento,1400,1854
Rua Vicente de Carvalho,Vila Príncipe de Gales,38,2,1,Apartamento,1650,1890
Rua João Simões de Souza,Parque Reboucas,89,2,2,Apartamento,4350,5430
Rua Doutor Mário Ferraz,Jardim Europa,100,3,1,Apartamento,5000,6938
Rua Tamandaré,Liberdade,32,1,1,Apartamento,2000,2950
Praça Júlio Mesquita,Santa Efigênia,42,1,1,Apartamento,3600,4339
Rua Carneiro da Cunha,Vila da Saúde,77,2,2,Apartamento,2430,3647
Avenida Montemagno,Vila Formosa,400,3,3,Casa,4500,5222
Rua Tomaz Paulino de Almeida,Vila Hebe,24,1,0,Studio e kitnet,900,935
Rua Dionísio da Costa,Vila Mariana,38,1,1,Studio e kitnet,5200,6330
Rua Humberto I,Vila Mariana,22,1,0,Apartamento,2800,3259
Avenida Pompéia,Pompeia,35,1,1,Apartamento,2400,3189
Rua Doutor Brasílio Machado,Santa Cecília,82,2,0,Apartamento,6000,7105
Rua Eugênia Sá Vitale,Vila Santa Luzia,51,2,1,Apartamento,2738,3296
Rua Bento Frias,Pinheiros,33,1,1,Studio e kitnet,4500,5329
Rua Doutor Bettencourt Rodrigues,Sé,61,1,0,Apartamento,1440,2003
Avenida Conselheiro Rodrigues Alves,Vila Mariana,90,3,1,Apartamento,3366,4817
Avenida Rouxinol,Indianópolis,35,1,1,Apartamento,2800,3978
Avenida Jurema,Indianópolis,78,2,1,Apartamento,4200,6119
Rua Voluntários da Pátria,Santana,67,3,1,Apartamento,2800,3813
Rua São Florêncio,Cangaiba,53,2,0,Apartamento,2000,2611
Rua Doutor Orlando Zamitti Mammana,Jardim Paraíso,68,2,1,Apartamento,3500,5041
Rua Fiandeiras,Vila Olímpia,40,1,1,Apartamento,2300,4009
Rua Luís Coelho,Consolação,48,1,1,Studio e kitnet,2100,3692
Rua Oscar Freire,Cerqueira César,82,2,1,Apartamento,4000,5269
Alameda Jauaperi,Indianópolis,20,1,0,Studio e kitnet,3800,4449
Rua Humberto I,Vila Mariana,21,1,0,Apartamento,2500,3146
Rua Liestal,Lauzane Paulista,52,2,1,Apartamento,904,1676
Rua Oliveira Catrambi,Jardim Vila Formosa,40,2,0,Apartamento,6000,6832
Rua da Fonte,Jardim Bela Vista,130,3,3,Apartamento,3500,4819
Rua José de Camargo,Vila Mariana,98,3,1,Apartamento,2500,4007
Rua Ministro Godói,Perdizes,24,1,0,Studio e kitnet,3000,3589
"Rua França Pinto, 1255 - Vila Mariana, São Paulo - Sp, Brasil",Vila Mariana,96,3,1,Apartamento,3000,3920
Rua José Gomes Falcão,Parque Industrial Tomas Edson,162,3,2,Apartamento,8500,10120
Rua Angá,Vila Formosa,57,2,1,Apartamento,2400,2902
Rua Fábia,Vila Romana,104,3,2,Apartamento,6900,8782
Rua Yayá,Jardim Canhema,45,2,1,Apartamento,1800,2234
Alameda Campinas,Jardim Paulista,30,1,1,Apartamento,3000,4206
Alameda Barros,Santa Cecília,75,3,2,Apartamento,3750,5440
Rua Flórida,Cidade Monções,98,2,2,Apartamento,7650,10330
Rua Afonso Bandeira de Melo,Campo Belo,65,1,1,Apartamento,2800,3964
Rua dos Americanos,Barra Funda,56,2,2,Apartamento,3100,4417
Avenida Macuco,Moema,60,2,1,Apartamento,3900,5903
Rua Alexandre Benois,Vila Andrade,70,1,2,Apartamento,2750,3728
Rua Ministro Godói,Perdizes,22,1,0,Studio e kitnet,2500,3050
Rua Jorge Tibiriçá,Vila Mariana,80,3,2,Apartamento,6000,7533
Rua Ministro Roberto Cardoso Alves,Jardim Novo Santo Amaro,50,2,0,Apartamento,1900,2350
Rua Tuim,Vila Uberabinha,43,1,1,Apartamento,3000,4816
Avenida Doutor Cardoso de Melo,Vila Olímpia,75,2,2,Apartamento,11250,12830
Rua Paim,Bela Vista,49,1,1,Studio e kitnet,2100,2826
Rua Professor Atílio Innocenti,Vila Nova Conceição,48,1,1,Apartamento,3733,5189
Rua Doutor Chibata Miyakoshi,Paraíso do Morumbi,34,1,1,Studio e kitnet,3050,4613
Rua Marechal Hermes da Fonseca,Santana,52,1,1,Apartamento,1592,2004
Alameda dos Aicás,Indianópolis,48,1,1,Apartamento,2500,3632
Rua Nicola Rollo,Vila Andrade,87,3,1,Apartamento,5000,6475
Rua Doutora Neyde Apparecida Sollitto,Vila Clementino,46,1,1,Studio e kitnet,5000,6673
Rua Doutor Penaforte Mendes,Bela Vista,27,1,0,Studio e kitnet,2800,3531
Rua das Palmeiras,Campos Elíseos,15,1,0,Studio e kitnet,1880,2387
Rua Jumana,Mooca,88,2,1,Apartamento,1850,2856
Rua Fernão Dias,Pinheiros,100,1,2,Apartamento,13000,15620
Rua Alvorada,Vila Olímpia,60,2,1,Apartamento,6500,8359
Rua Casa do Ator,Vila Olímpia,93,2,2,Apartamento,15000,18090
Rua Henrique Fausto Lancellotti,Nova Piraju,29,1,1,Studio e kitnet,3500,4754
Rua Comendador Miguel Calfat,Vila Nova Conceição,70,2,1,Apartamento,5500,6913
Rua Bueno Brandão,Vila Nova Conceição,100,3,1,Apartamento,5900,7969
Rua Heinrich Hertz,Cidade Monções,30,1,1,Studio e kitnet,3000,4975
Rua Cravinhos,Jardim Paulista,85,2,1,Apartamento,7253,9209
Rua Quixadá,Vila Invernada,45,2,1,Apartamento,2200,2707
Rua Guarapuava,Mooca,39,1,1,Studio e kitnet,3000,3499
Rua Abaíbas,Vila Palmeiras,30,1,0,Casa,770,889
Avenida Doutor Guilherme Dumont Vilares,Jardim Londrina,85,3,1,Apartamento,2600,3485
Avenida Cupecê,Jardim Prudência,40,2,0,Apartamento,1800,2199
Rua Glicério,Liberdade,45,1,1,Apartamento,1906,2478
Rua Álvaro Rodrigues,Vila Cordeiro,43,1,1,Studio e kitnet,3000,3898
Rua Aimberê,Sumaré,57,2,1,Apartamento,4500,5646
Avenida João Dias,Santo Amaro,67,2,0,Apartamento,2100,2898
Rua Luís Coelho,Consolação,46,1,1,Apartamento,3600,4820
Avenida Mofarrej,Vila Leopoldina,94,3,2,Apartamento,4300,5875
Rua Antônio Júlio dos Santos,Fazenda Morumbi,103,3,2,Apartamento,3922,5434
Rua Antunes Maciel,Alto da Mooca,65,2,0,Apartamento,1600,1844
Rua Frederico Von Martius,Vila Monumento,189,2,5,Casa,3000,3511
Rua Arthur Luiz Adriano,Parque da Mooca,56,2,0,Casa,1500,1730
Rua Vitória,Santa Efigênia,43,1,0,Apartamento,1390,1444
R. Palmares,Brooklin Paulista,119,2,0,Casa,2035,2137
Rua Elba,Sacomã,60,2,1,Casa,1500,1699
